node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SNAP25	SLC32A1	4434401	4433019	9606.ENSP00000254976	9606.ENSP00000217420	0	0	0	0	0.497	0	0.900	0.506	0.973
IFITM3	ISG15	4446948	4445204	9606.ENSP00000382707	9606.ENSP00000368699	0	0	0	0	0.387	0	0.900	0.607	0.973
ITGB2	FCER1G	4446737	4436828	9606.ENSP00000380948	9606.ENSP00000289902	0	0	0	0	0.662	0	0.900	0.291	0.973
CXCL12	CXCL8	4446453	4438229	9606.ENSP00000379140	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0.733	0.972
BMP7	BAMBI	4446466	4444581	9606.ENSP00000379204	9606.ENSP00000364683	0	0	0	0	0	0	0.900	0.734	0.972
DYNC1I1	DYNLRB2	4439335	4437915	9606.ENSP00000320130	9606.ENSP00000302936	0	0	0	0	0.063	0.731	0.720	0.655	0.972
STAT1	FGFR3	4442456	4440994	9606.ENSP00000354394	9606.ENSP00000339824	0	0	0	0	0	0.374	0.900	0.593	0.972
NTN4	UNC5A	4441104	4440389	9606.ENSP00000340998	9606.ENSP00000332737	0	0	0	0	0.063	0	0.900	0.731	0.972
EDN1	SRC	4445200	4444215	9606.ENSP00000368683	9606.ENSP00000362680	0	0	0	0	0.060	0	0.900	0.722	0.971
LRP2	APOE	4435321	4434227	9606.ENSP00000263816	9606.ENSP00000252486	0	0	0	0	0.081	0.379	0.900	0.555	0.971
GRIA3	NSF	4451590	4446795	9606.ENSP00000481554	9606.ENSP00000381293	0	0	0	0	0.062	0.454	0.900	0.500	0.971
COL5A2	COL6A3	4444466	4437161	9606.ENSP00000364000	9606.ENSP00000295550	0	0	0	0.561	0.597	0	0.900	0.727	0.971
GRIA1	CAMK2A	4449480	4446806	9606.ENSP00000428994	9606.ENSP00000381412	0	0	0	0	0.272	0.266	0.900	0.520	0.970
PSMB8	TAP1	4444469	4441602	9606.ENSP00000364016	9606.ENSP00000346206	0	0.066	0	0	0.845	0.374	0	0.714	0.970
GABRB2	GABRA4	4436144	4435414	9606.ENSP00000274547	9606.ENSP00000264318	0	0	0	0.826	0.321	0.544	0.900	0.741	0.970
FOS	CCL2	4438204	4433339	9606.ENSP00000306245	9606.ENSP00000225831	0	0	0	0	0	0	0.900	0.719	0.970
SCG2	VGF	4438023	4434091	9606.ENSP00000304133	9606.ENSP00000249330	0	0	0	0	0.231	0	0.900	0.650	0.970
SYT2	CPLX1	4442848	4438141	9606.ENSP00000356236	9606.ENSP00000305613	0	0	0	0	0.466	0.775	0	0.767	0.969
YAP1	SRC	4451342	4444215	9606.ENSP00000478927	9606.ENSP00000362680	0	0	0	0	0	0.163	0.900	0.660	0.969
E2F1	CCNA1	4441534	4434435	9606.ENSP00000345571	9606.ENSP00000255465	0	0	0	0	0.129	0.470	0.900	0.422	0.969
C4B	CD55	4448805	4442798	9606.ENSP00000415941	9606.ENSP00000356030	0	0	0	0	0	0	0.900	0.709	0.969
CXCL8	ACKR3	4438229	4436051	9606.ENSP00000306512	9606.ENSP00000272928	0	0	0	0	0	0	0.900	0.703	0.969
SDC1	GPC4	4445506	4443623	9606.ENSP00000370542	9606.ENSP00000359864	0	0	0	0	0.095	0	0.900	0.690	0.969
IGFALS	IGFBP5	4448841	4433604	9606.ENSP00000416683	9606.ENSP00000233813	0	0	0	0	0	0.379	0.900	0.549	0.969
CXCL8	CEBPB	4438229	4438125	9606.ENSP00000306512	9606.ENSP00000305422	0	0	0	0	0.133	0.294	0.900	0.556	0.969
SYT2	SNAP25	4442848	4434401	9606.ENSP00000356236	9606.ENSP00000254976	0	0	0	0	0.282	0.789	0	0.813	0.969
CXCL12	CCR1	4446453	4437243	9606.ENSP00000379140	9606.ENSP00000296140	0	0	0	0	0	0.162	0.900	0.669	0.969
KRT17	KRT6B	4438413	4434219	9606.ENSP00000308452	9606.ENSP00000252252	0	0	0	0.711	0.544	0.185	0.900	0.751	0.968
NEFL	NEFM	4451641	4433145	9606.ENSP00000482169	9606.ENSP00000221166	0	0	0	0.890	0.599	0.916	0	0.924	0.968
CHGB	VGF	4445138	4434091	9606.ENSP00000368244	9606.ENSP00000249330	0	0	0	0	0.132	0	0.900	0.668	0.968
LGR6	RSPO2	4442850	4436239	9606.ENSP00000356247	9606.ENSP00000276659	0	0	0	0	0	0.263	0.900	0.599	0.967
GPC4	GLCE	4443623	4434963	9606.ENSP00000359864	9606.ENSP00000261858	0	0	0	0	0.061	0.185	0.900	0.619	0.967
GAD2	SNAP25	4444701	4434401	9606.ENSP00000365437	9606.ENSP00000254976	0	0	0	0	0.474	0	0.900	0.425	0.967
CXCL8	CX3CL1	4438229	4432567	9606.ENSP00000306512	9606.ENSP00000006053	0	0	0	0	0.061	0	0.900	0.685	0.967
TF	CP	4447279	4435459	9606.ENSP00000385834	9606.ENSP00000264613	0	0	0	0	0.181	0	0.900	0.636	0.967
GABRB1	GABRA4	4437154	4435414	9606.ENSP00000295454	9606.ENSP00000264318	0	0	0	0.845	0.225	0.544	0.900	0.826	0.966
EDN1	MAPK14	4445200	4433482	9606.ENSP00000368683	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.679	0.966
CXCL12	CX3CL1	4446453	4432567	9606.ENSP00000379140	9606.ENSP00000006053	0	0	0	0	0	0	0.900	0.678	0.966
PCSK9	APOE	4437942	4434227	9606.ENSP00000303208	9606.ENSP00000252486	0	0	0	0	0.067	0	0.900	0.669	0.966
SNAI2	KIT	4446599	4436763	9606.ENSP00000380034	9606.ENSP00000288135	0	0	0	0	0	0	0.900	0.683	0.966
SRC	DNM1	4444215	4444057	9606.ENSP00000362680	9606.ENSP00000362014	0	0	0	0	0.064	0.393	0.900	0.456	0.965
PTPRC	CXCL12	4448605	4446453	9606.ENSP00000411355	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0.672	0.965
FGFR2	FGFR3	4448546	4440994	9606.ENSP00000410294	9606.ENSP00000339824	0	0	0	0.966	0.156	0.613	0.900	0.908	0.965
ITGB2	FLNA	4446737	4443409	9606.ENSP00000380948	9606.ENSP00000358866	0	0	0	0	0.083	0.960	0	0.123	0.965
CCR1	CCL2	4437243	4433339	9606.ENSP00000296140	9606.ENSP00000225831	0	0	0	0	0.096	0.432	0.600	0.845	0.964
FZD9	WNT10B	4441555	4437717	9606.ENSP00000345785	9606.ENSP00000301061	0	0	0	0	0.070	0.262	0.900	0.541	0.964
CSF1R	TYROBP	4436666	4435115	9606.ENSP00000286301	9606.ENSP00000262629	0	0	0	0	0.925	0	0	0.539	0.964
C4B	C1QB	4448805	4438900	9606.ENSP00000415941	9606.ENSP00000313967	0	0	0	0	0.170	0	0.900	0.590	0.963
GABRA2	GABRB1	4449188	4437154	9606.ENSP00000421828	9606.ENSP00000295454	0	0	0	0.857	0.159	0.544	0.900	0.915	0.963
AJUBA	CDH1	4435126	4434944	9606.ENSP00000262713	9606.ENSP00000261769	0	0	0	0	0.061	0.294	0.900	0.507	0.963
SDC4	GPC4	4444011	4443623	9606.ENSP00000361818	9606.ENSP00000359864	0	0	0	0	0.049	0	0.900	0.646	0.963
NPY	PENK	4447109	4439673	9606.ENSP00000384364	9606.ENSP00000324248	0	0	0	0	0.109	0	0.900	0.626	0.963
PROS1	F5	4446246	4442956	9606.ENSP00000377783	9606.ENSP00000356771	0	0	0	0	0.063	0.379	0.900	0.443	0.963
GABRA2	GABRB2	4449188	4436144	9606.ENSP00000421828	9606.ENSP00000274547	0	0	0	0.847	0.176	0.544	0.900	0.720	0.963
WNT10B	FZD7	4437717	4436663	9606.ENSP00000301061	9606.ENSP00000286201	0	0	0	0	0	0.262	0.900	0.535	0.962
GRIA1	AKAP5	4449480	4446311	9606.ENSP00000428994	9606.ENSP00000378207	0	0	0	0	0.063	0.082	0.900	0.620	0.962
DNM1	CLTA	4444057	4433816	9606.ENSP00000362014	9606.ENSP00000242285	0	0	0	0	0	0.161	0.900	0.590	0.962
GABRB1	GABRA6	4437154	4436143	9606.ENSP00000295454	9606.ENSP00000274545	0	0	0	0.847	0.153	0.544	0.900	0.708	0.962
LIMA1	CDH1	4446350	4434944	9606.ENSP00000378400	9606.ENSP00000261769	0	0	0	0	0.062	0.388	0.900	0.420	0.962
CCR1	CX3CL1	4437243	4432567	9606.ENSP00000296140	9606.ENSP00000006053	0	0	0	0	0.058	0	0.900	0.632	0.962
HSPA1B	DNAJB6	4444599	4435022	9606.ENSP00000364801	9606.ENSP00000262177	0.043	0	0.348	0	0.141	0.194	0.900	0.288	0.962
GRIA3	CAMK2A	4451590	4446806	9606.ENSP00000481554	9606.ENSP00000381412	0	0	0	0	0.224	0.130	0.900	0.506	0.962
RIMS1	SYT1	4449449	4434836	9606.ENSP00000428417	9606.ENSP00000261205	0	0	0	0.571	0.235	0.379	0.900	0.642	0.962
RAPGEF3	ABCC8	4447902	4438006	9606.ENSP00000395708	9606.ENSP00000303960	0	0	0	0	0.070	0	0.900	0.627	0.962
IFT74	KIF3A	4448305	4447275	9606.ENSP00000404122	9606.ENSP00000385808	0	0	0	0	0.081	0	0.900	0.611	0.961
DMTN	ADD3	4449420	4441824	9606.ENSP00000427866	9606.ENSP00000348381	0	0	0	0	0.061	0	0.900	0.625	0.961
NRXN3	EPB41	4450365	4441504	9606.ENSP00000451648	9606.ENSP00000345259	0	0	0	0	0	0	0.900	0.633	0.961
CD44	CD74	4448037	4432583	9606.ENSP00000398632	9606.ENSP00000009530	0	0	0	0	0.088	0.379	0.720	0.782	0.961
SH3KBP1	DNM1	4446733	4444057	9606.ENSP00000380921	9606.ENSP00000362014	0	0	0	0	0.063	0.322	0.900	0.463	0.961
CXCL8	CCR1	4438229	4437243	9606.ENSP00000306512	9606.ENSP00000296140	0	0	0	0	0.116	0	0.900	0.596	0.961
SRC	NGEF	4444215	4435368	9606.ENSP00000362680	9606.ENSP00000264051	0	0	0	0	0.061	0.087	0.900	0.604	0.961
BAG3	HSPA6	4443254	4438569	9606.ENSP00000358081	9606.ENSP00000310219	0	0	0	0	0.068	0.316	0.900	0.468	0.961
STAT1	TNFRSF1A	4442456	4432688	9606.ENSP00000354394	9606.ENSP00000162749	0	0	0	0	0.064	0.305	0.900	0.473	0.961
TGFB2	DCN	4442765	4432629	9606.ENSP00000355896	9606.ENSP00000052754	0	0	0	0	0.080	0.387	0.900	0.400	0.961
LPL	CPT1A	4438536	4435626	9606.ENSP00000309757	9606.ENSP00000265641	0	0	0	0	0.049	0	0.900	0.617	0.960
FOS	DUSP1	4438204	4433734	9606.ENSP00000306245	9606.ENSP00000239223	0	0	0	0	0.873	0.111	0	0.674	0.960
FCER1G	TYROBP	4436828	4435115	9606.ENSP00000289902	9606.ENSP00000262629	0	0	0	0	0.888	0	0	0.659	0.960
EDN1	ADRA1B	4445200	4438245	9606.ENSP00000368683	9606.ENSP00000306662	0	0	0	0	0.070	0.157	0.900	0.556	0.960
PENK	SCG2	4439673	4438023	9606.ENSP00000324248	9606.ENSP00000304133	0	0	0	0	0.134	0	0.900	0.578	0.960
SH3KBP1	SYNJ2	4446733	4441760	9606.ENSP00000380921	9606.ENSP00000347792	0	0	0	0	0.062	0.364	0.900	0.421	0.960
MAP2K4	MAPK14	4448551	4433482	9606.ENSP00000410402	9606.ENSP00000229795	0	0	0.295	0.606	0.062	0.379	0.900	0.753	0.959
LGI4	ADAM23	4438767	4435422	9606.ENSP00000312273	9606.ENSP00000264377	0	0	0	0	0.077	0	0.900	0.598	0.959
XDH	GDA	4445208	4433698	9606.ENSP00000368727	9606.ENSP00000238018	0.167	0	0.225	0	0.088	0	0.900	0.421	0.959
PAK1	MAPK14	4436295	4433482	9606.ENSP00000278568	9606.ENSP00000229795	0	0	0.371	0.644	0.055	0.502	0.900	0.322	0.959
C4B	C1QC	4448805	4444427	9606.ENSP00000415941	9606.ENSP00000363770	0	0	0	0	0.170	0	0.900	0.554	0.959
